Tuần,Giai đoạn / Module,Nhiệm vụ chi tiết,Người phụ trách,Kết quả mong đợi (Output),Trạng thái,Ghi chú
Tuần 2,Xử lý dữ liệu - DataIO & Giao diện,Code hàm saveData() trong DataIO.py: xuất kết quả gợi ý ra file output.txt hoặc output.csv có timestamp,Hoàng,Hàm saveData() trong src/utils/DataIO.py hoạt động tạo được file output,FALSE,Không phụ thuộc code module khác - làm song song với loadData()
Tuần 2,Xử lý dữ liệu - DataIO & Giao diện,Code Console Menu trong main.py: vòng lặp nhập UserID / hiển thị thông báo lỗi rõ ràng / in kết quả Top 10 đẹp,Hoàng,File src/main.py với menu console chạy được và xử lý input lỗi không bị crash,FALSE,Phụ thuộc loadData() hoạt động - có thể dùng mock data trước
Tuần 2,Xử lý dữ liệu - DataIO & Giao diện,Code logic xử lý Cold-start trong main.py: khi UserID mới thì gợi ý Top 10 game phổ biến nhất theo lượt đánh giá,Hoàng,Logic cold-start hoạt động và in được kết quả gợi ý cho user mới,FALSE,Phụ thuộc loadData() để đếm được tần suất item
Tuần 2,Đo lường & Quản lý chất lượng,Code module Timer.py: wrapper đo thời gian chạy tính bằng mili-giây có thể gắn vào bất kỳ hàm nào,Huy,File src/utils/Timer.py hoàn chỉnh và đã test được với hàm đơn giản,FALSE,Cần chèn vào MinHash / LSH / Recommender sau khi các file đó hoàn chỉnh
Tuần 2,Đo lường & Quản lý chất lượng,Chèn Timer.py vào các hàm chính của Trí: generate_signature() và build_buckets() để bắt đầu đo số liệu,Huy,Số liệu thời gian chạy đầu tiên trên sample_1k ghi vào performance_log.csv,FALSE,Phụ thuộc MinHash.py và LSH_Engine.py hoàn chỉnh và Timer.py sẵn sàng
Tuần 2,Thiết kế hệ thống - Chương 3,Viết mục 3.1 vào báo cáo: mô tả DFD và giải thích từng bước trong luồng dữ liệu,Dũng,Nội dung mục 3.1 hoàn chỉnh trong BaoCao_Nhom5.docx,FALSE,Phụ thuộc file DFD từ Vinh tuần 1
Tuần 2,Thiết kế hệ thống - Chương 3,Viết mục 3.2 vào báo cáo: mô tả Class Diagram và giải thích quan hệ giữa các class,Dũng,Nội dung mục 3.2 hoàn chỉnh trong BaoCao_Nhom5.docx,FALSE,Phụ thuộc file Class Diagram từ Vinh tuần 1
Tuần 2,Thiết kế hệ thống - Chương 3,Viết mục 3.3 vào báo cáo: bảng biện luận lựa chọn cấu trúc dữ liệu HashMap / HashSet / Priority Queue,Dũng,Nội dung mục 3.3 hoàn chỉnh trong BaoCao_Nhom5.docx,FALSE,Không phụ thuộc task code - có thể làm độc lập
,,,,,,
Tuần 3,Ranking - Jaccard & Priority Queue,Code hàm exact Jaccard Similarity trong Recommender.py: tính chính xác trên tập ứng viên đầu ra từ LSH,Vinh,Hàm jaccard_similarity() trong src/core/Recommender.py hoạt động,FALSE,Phụ thuộc LSH_Engine.py từ Trí đã hoàn chỉnh ở Tuần 2
Tuần 3,Ranking - Jaccard & Priority Queue,Code Priority Queue trong Recommender.py: lọc và trả về Top K game với điểm Jaccard cao nhất,Vinh,Hàm get_top_k() trong Recommender.py hoạt động chính xác,FALSE,Phụ thuộc hàm jaccard_similarity() ngay trên
Tuần 3,Ranking - Jaccard & Priority Queue,Ráp toàn bộ luồng trong main.py: nối loadData → MinHash → LSH → Jaccard → Top K thành pipeline hoàn chỉnh,Vinh,main.py chạy end-to-end thành công từ đầu đến cuối không lỗi,FALSE,Phụ thuộc tất cả module code của Tuần 1 và Tuần 2
Tuần 3,Báo cáo - Phần thuật toán (Trí hỗ trợ),Viết mục 2.3 (Pseudocode MinHash): dịch code MinHash.py thành mã giả ngôn ngữ tự nhiên chuẩn báo cáo,Trí,Pseudocode MinHash hoàn chỉnh trong mục 2.3 của BaoCao_Nhom5.docx,FALSE,Trí tự viết vì hiểu rõ code nhất - Dũng hỗ trợ căn chỉnh định dạng
Tuần 3,Báo cáo - Phần thuật toán (Trí hỗ trợ),Viết mục 2.3 (Pseudocode LSH): dịch code LSH_Engine.py thành mã giả ngôn ngữ tự nhiên chuẩn báo cáo,Trí,Pseudocode LSH hoàn chỉnh trong mục 2.3 của BaoCao_Nhom5.docx,FALSE,Làm ngay sau Pseudocode MinHash - cùng mục 2.3
Tuần 3,Báo cáo - Phần thuật toán (Trí hỗ trợ),Phân tích và viết độ phức tạp Big O cho MinHash.py: giải thích từng vòng lặp và lý do chọn O(...),Trí,Nội dung Big O của MinHash trong mục 5.2 của BaoCao_Nhom5.docx,FALSE,Phối hợp với Dũng để diễn đạt học thuật chuẩn
Tuần 3,Báo cáo - Phần thuật toán (Trí hỗ trợ),Phân tích và viết độ phức tạp Big O cho LSH_Engine.py: giải thích từng giai đoạn xây dựng rổ và truy vấn,Trí,Nội dung Big O của LSH trong mục 5.2 của BaoCao_Nhom5.docx,FALSE,Phối hợp với Dũng để diễn đạt học thuật chuẩn
Tuần 3,Báo cáo - Phần dữ liệu (Hoàng hỗ trợ),Viết mục 2.3 (Pseudocode Ranking): dịch hàm jaccard_similarity và get_top_k thành mã giả,Hoàng,Pseudocode Ranking hoàn chỉnh trong mục 2.3 của BaoCao_Nhom5.docx,FALSE,Phối hợp với Vinh là người viết code Recommender.py
Tuần 3,Báo cáo - Phần dữ liệu (Hoàng hỗ trợ),Viết mục 1.4: Lý do chọn dataset Amazon Video Games và đặc điểm dữ liệu (số dòng / độ thưa / phân phối rating),Hoàng,Nội dung mục 1.4 hoàn chỉnh trong BaoCao_Nhom5.docx,FALSE,Hoàng tự viết vì đã làm việc với data từ Tuần 1
Tuần 3,Báo cáo - Phần dữ liệu (Hoàng hỗ trợ),Viết Chương 4 phần DataIO và Giao diện: mô tả thiết kế hàm loadData / saveData / Console Menu,Hoàng,Nội dung Chương 4 phần DataIO hoàn chỉnh trong BaoCao_Nhom5.docx,FALSE,Hoàng tự viết vì là người code module này
Tuần 3,Kiểm thử & Đo lường,Chạy TC01: UserID hợp lệ → ghi lại Top 10 kết quả thực tế và đánh giá có hợp lý không,Huy,Dòng TC01 trong testcases.xlsx có đủ kết quả thực tế và trạng thái Passed/Failed,FALSE,Phụ thuộc main.py chạy end-to-end thành công
Tuần 3,Kiểm thử & Đo lường,Chạy TC02: UserID mới (Cold-start) → xác nhận hệ thống trả về game phổ biến thay vì báo lỗi,Huy,Dòng TC02 trong testcases.xlsx có đủ kết quả thực tế và trạng thái Passed/Failed,FALSE,Phụ thuộc logic cold-start từ Hoàng
Tuần 3,Kiểm thử & Đo lường,Chạy TC03: đo thời gian phản hồi trên sample_10k và sample_50k → ghi số liệu vào performance_log.csv,Huy,Số liệu thời gian chạy trên 2 quy mô trong performance_log.csv,FALSE,Phụ thuộc Timer.py đã chèn vào pipeline chính
Tuần 3,Kiểm thử & Đo lường,Ghi log lỗi vào bug_log.md và báo Vinh / Trí / Hoàng sửa trong ngày,Huy,File bug_log.md với trạng thái từng lỗi: Open - Fixed - Verified,FALSE,Chạy liên tục song song với mọi test case trong Tuần 3 và 4
Tuần 3,Tài liệu - Chương 4 phần Core,Viết Chương 4 phần MinHash và LSH: mô tả thiết kế module và quyết định kỹ thuật quan trọng,Dũng,Nội dung Chương 4 phần Core hoàn chỉnh trong BaoCao_Nhom5.docx,FALSE,Phối hợp với Trí và Vinh để lấy thông tin kỹ thuật chính xác
,,,,,,
Tuần 4,Kiểm thử & Đo lường - Hoàn thiện,Chạy TC04 và TC05: kiểm tra các edge case (UserID rỗng / ký tự đặc biệt / file CSV lỗi định dạng),Huy,Dòng TC04 và TC05 trong testcases.xlsx hoàn chỉnh,FALSE,Phụ thuộc pipeline ổn định sau khi bug Tuần 3 đã được fix
Tuần 4,Kiểm thử & Đo lường - Hoàn thiện,Chạy lần đo cuối trên sample_50k sau khi tất cả bug đã được fix: ghi số liệu chính thức vào performance_log.csv,Huy,Bộ số liệu hiệu năng chính thức (final) trong performance_log.csv,FALSE,Đây là số liệu dùng để vẽ biểu đồ nên phải đo lại sau khi code đã ổn định
Tuần 4,Báo cáo - Chương 5 & Kết quả (Hoàng hỗ trợ),Vẽ biểu đồ so sánh thời gian chạy khi tăng quy mô 1k - 10k - 50k từ số liệu của Huy,Hoàng,File ảnh performance_chart.png trong docs/,FALSE,Phụ thuộc bộ số liệu chính thức từ Huy
Tuần 4,Báo cáo - Chương 5 & Kết quả (Hoàng hỗ trợ),Viết mục 5.3: Kết quả thực nghiệm - phân tích và diễn giải biểu đồ hiệu năng bằng ngôn ngữ học thuật,Hoàng,Nội dung mục 5.3 hoàn chỉnh trong BaoCao_Nhom5.docx,FALSE,Phụ thuộc biểu đồ performance_chart.png
Tuần 4,Báo cáo - Chương 5 & Kết quả (Hoàng hỗ trợ),Viết mục 5.4: Đánh giá chất lượng gợi ý - nhận xét kết quả TC01 và TC02 có sát thực tế không,Hoàng,Nội dung mục 5.4 hoàn chỉnh trong BaoCao_Nhom5.docx,FALSE,Phụ thuộc kết quả test case từ Huy
Tuần 4,Báo cáo - Chương 5 & Kết quả (Trí hỗ trợ),Phân tích và viết độ phức tạp Big O cho Recommender.py: giải thích cả Jaccard và Priority Queue,Trí,Nội dung Big O của Recommender trong mục 5.2 của BaoCao_Nhom5.docx,FALSE,Phối hợp với Vinh là người viết code Recommender.py
Tuần 4,Báo cáo - Chương 5 & Kết quả (Trí hỗ trợ),Viết tổng kết mục 5.2: bảng tổng hợp Big O toàn hệ thống (loadData - MinHash - LSH - Jaccard - Top K),Trí,Bảng tổng hợp Big O hoàn chỉnh trong mục 5.2 của BaoCao_Nhom5.docx,FALSE,Phụ thuộc 3 phần Big O riêng lẻ đã viết ở Tuần 3 và 4
Tuần 4,Báo cáo - Chương 1 & 6,Viết Chương 1 đầy đủ: Đặt vấn đề / Mục tiêu / Phạm vi dữ liệu (dựa trên kết quả thực tế đã có),Vinh,Nội dung Chương 1 hoàn chỉnh trong BaoCao_Nhom5.docx,FALSE,Viết sau cùng khi đã có đủ kết quả thực nghiệm để tham chiếu
Tuần 4,Báo cáo - Chương 1 & 6,Viết mục 6.1: Tóm tắt kết quả đạt được và ưu điểm của hệ thống Hybrid,Vinh,Nội dung mục 6.1 hoàn chỉnh trong BaoCao_Nhom5.docx,FALSE,Phụ thuộc kết quả thực nghiệm từ Tuần 3 và 4
Tuần 4,Báo cáo - Chương 1 & 6,Viết mục 6.2: Hạn chế của hệ thống hiện tại và hướng phát triển trong tương lai,Vinh,Nội dung mục 6.2 hoàn chỉnh trong BaoCao_Nhom5.docx,FALSE,Không phụ thuộc task khác - viết dựa trên quan sát trong quá trình phát triển
Tuần 4,Báo cáo - Chương 1 & 6,Viết mục 6.3: Bảng phân công nhiệm vụ 5 vai trò với % đóng góp ước tính,Vinh,Nội dung mục 6.3 hoàn chỉnh trong BaoCao_Nhom5.docx,FALSE,Điền sau khi tất cả thành viên đã hoàn thành nhiệm vụ
Tuần 4,Tài liệu - Hoàn thiện & Xuất bản,Viết mục 5.1 vào báo cáo: bảng Test Cases đầy đủ với kết quả thực tế từ Huy,Dũng,Nội dung mục 5.1 hoàn chỉnh trong BaoCao_Nhom5.docx,FALSE,Phụ thuộc testcases.xlsx từ Huy
Tuần 4,Tài liệu - Hoàn thiện & Xuất bản,Căn lề và định dạng toàn bộ báo cáo: font chữ đồng nhất / đánh số trang / mục lục tự động / danh sách hình bảng,Dũng,BaoCao_Nhom5.docx bản đã căn chỉnh sẵn sàng xuất PDF,FALSE,Chỉ làm sau khi TẤT CẢ nội dung các chương đã được điền xong
Tuần 4,Tài liệu - Hoàn thiện & Xuất bản,Làm Slide thuyết trình Slide_Nhom5.pptx: tóm tắt 6 chương + ảnh minh họa DFD + demo kết quả + phân công,Dũng,File docs/Slide_Nhom5.pptx hoàn chỉnh sẵn sàng thuyết trình,FALSE,Phụ thuộc báo cáo gần hoàn chỉnh để tóm tắt nội dung
Tuần 4,Đóng gói & Nộp bài,Viết README.md hoàn chỉnh: hướng dẫn cài đặt thư viện và từng bước chạy chương trình cho giảng viên,Vinh,File README.md hoàn chỉnh ở thư mục gốc repo,FALSE,Phải test lại các bước hướng dẫn trên máy tính sạch không phải máy dev
Tuần 4,Đóng gói & Nộp bài,Review lần cuối toàn bộ source code: xóa code thừa / thêm comment giải thích / kiểm tra chạy được trên máy sạch,Vinh,Source code đã được review và chạy thành công trên máy thứ 3,FALSE,Phải thử trên ít nhất một máy tính không phải của người code
Tuần 4,Đóng gói & Nộp bài,Xuất BaoCao_Nhom5.docx ra file PDF và kiểm tra lần cuối định dạng không bị vỡ,Dũng,File docs/BaoCao_Nhom5.pdf bản chính thức,FALSE,Phụ thuộc bước căn lề hoàn chỉnh
Tuần 4,Đóng gói & Nộp bài,Đóng gói toàn bộ dự án thành file ZIP theo đúng cấu trúc thư mục quy định và nộp bài,Vinh,File Nhom5_DoAn_HeThongGoiY.zip sẵn sàng nộp,FALSE,Task cuối cùng - phụ thuộc tất cả các task trong 4 tuần đã hoàn thành
